X,      Y
10.40,  394.64    
8.86,   387.56    
5.88,   291.41    
12.13,  430.87    
8.71,   396.02    
15.56,  580.37    
12.64,  454.64    
4.83,   292.93    
9.95,   400.82    
10.79,  427.97    
3.56,   259.02    
10.53,  412.85    
17.03,  572.19    
4.83,   303.94    
9.57,   390.45    
8.45,   342.77    
9.10,   364.74    
14.83,  515.17    
9.94,   427.34    
6.71,   304.33    
14.79,  513.79    
16.11,  553.47    
8.82,   358.90    
4.47,   280.88    
12.53,  477.31    
14.46,  510.09    
6.13,   269.36    
6.80,   319.24    
4.78,   263.26    
13.05,  483.60    
