X,      Y
24.84,  785.50    
18.63,  312.13    
9.69,   204.09    
10.68,  221.15    
15.45,  258.30    
8.50,   200.61    
4.46,   98.68    
18.18,  295.94    
8.37,   171.87    
11.43,  168.32    
15.97,  347.77    
8.79,   193.75    
9.76,   141.74    
11.17,  227.06    
3.18,   60.23    
12.23,  226.35    
11.22,  198.91    
14.29,  316.91    
6.95,   151.15    
12.12,  189.80    
3.64,   68.93    
0.26,   48.61    
10.44,  205.58    
14.53,  288.65    
10.79,  202.80    
11.24,  224.80    
5.67,   84.01    
4.04,   98.48    
9.95,   207.61    
6.23,   129.57    
