X,      Y
7.93,   338.74    
14.98,  537.75    
2.27,   212.71    
10.22,  401.49    
11.33,  449.93    
8.35,   353.46    
8.68,   385.59    
11.21,  418.72    
11.30,  445.79    
9.35,   396.64    
10.34,  397.38    
13.14,  505.28    
11.42,  440.18    
3.43,   247.78    
9.82,   422.34    
5.70,   313.41    
14.76,  514.82    
13.11,  445.70    
12.41,  475.78    
9.35,   376.35    
10.70,  424.27    
13.36,  513.63    
6.56,   307.66    
7.56,   308.81    
12.51,  456.71    
8.70,   368.67    
7.69,   353.27    
7.17,   310.70    
13.75,  493.46    
14.78,  541.13    
        
