X,      Y
14.00,  431.35    
8.33,   284.94    
17.81,  512.99    
7.71,   283.83    
13.19,  414.62    
17.18,  519.80    
11.27,  360.33    
17.74,  558.90    
8.21,   244.48    
15.51,  462.24    
16.17,  489.60    
6.17,   240.45    
9.82,   315.90    
15.16,  443.21    
15.00,  460.48    
9.18,   331.52    
11.66,  405.77    
10.72,  310.03    
15.11,  534.91    
21.04,  704.92    
18.97,  564.78    
9.38,   279.18    
12.71,  441.26    
7.04,   221.65    
14.89,  453.93    
6.89,   274.71    
16.09,  464.50    
12.89,  438.02    
18.20,  592.42    
7.39,   240.03    
