X,      Y
26.45,  1182.67    
9.35,   463.80    
0.94,   37.68    
6.01,   318.36    
2.81,   136.14    
10.67,  492.67    
20.15,  905.71    
12.59,  568.26    
9.44,   399.77    
14.21,  651.75    
11.00,  478.50    
11.76,  537.48    
9.52,   481.69    
8.27,   359.79    
19.43,  891.34    
10.84,  512.15    
16.19,  716.86    
12.50,  557.06    
11.83,  565.96    
15.75,  703.17    
4.06,   211.41    
13.86,  670.27    
19.81,  894.36    
15.00,  698.48    
9.57,   443.80    
11.56,  515.07    
11.67,  559.82    
-1.55,  -43.39    
9.14,   384.32    
8.48,   385.76    
