X,      Y
7.07,   349.34    
12.71,  451.61    
8.04,   327.83    
8.09,   336.76    
6.92,   310.94    
11.37,  407.75    
8.30,   338.91    
11.58,  398.26    
7.11,   322.01    
8.68,   349.82    
6.07,   278.69    
9.48,   320.64    
9.84,   382.63    
13.65,  427.46    
12.54,  414.76    
8.98,   365.48    
7.52,   325.39    
11.74,  407.33    
11.45,  393.61    
17.00,  518.78    
14.73,  436.29    
5.68,   282.18    
12.75,  409.42    
16.19,  463.91    
9.22,   406.15    
11.76,  423.32    
11.51,  373.25    
12.99,  386.01    
19.05,  569.28    
10.41,  398.97    
