X,      Y
9.30,   405.01    
12.60,  512.28    
16.58,  622.04    
7.27,   371.13    
6.84,   325.01    
9.65,   403.86    
11.60,  414.93    
12.29,  477.02    
12.72,  479.30    
5.47,   311.69    
7.79,   366.10    
10.31,  417.41    
6.60,   334.95    
14.06,  562.20    
10.99,  467.97    
7.19,   364.11    
13.85,  523.94    
4.66,   279.87    
13.71,  548.29    
15.71,  572.65    
11.59,  459.85    
13.64,  545.66    
10.51,  489.02    
9.51,   410.67    
9.78,   381.30    
14.48,  531.66    
9.13,   381.60    
14.02,  533.00    
6.71,   329.79    
8.37,   407.87    
