X,      Y
3.65,   239.35    
9.75,   417.97    
11.40,  490.04    
13.33,  567.48    
9.07,   386.22    
14.89,  563.03    
9.30,   410.55    
1.69,   183.69    
2.30,   185.52    
11.93,  473.39    
11.68,  430.62    
15.53,  567.14    
8.94,   396.83    
13.62,  499.12    
11.53,  472.78    
3.85,   279.62    
10.72,  467.16    
12.19,  504.56    
14.98,  577.36    
10.54,  451.40    
6.93,   360.99    
11.82,  484.21    
7.42,   376.86    
12.59,  512.05    
9.40,   396.20    
11.58,  502.30    
13.60,  492.30    
8.52,   440.20    
8.75,   374.09    
12.89,  512.97    
