X,      Y
4.46,   272.74    
11.62,  364.93    
6.16,   315.58    
12.59,  409.05    
10.64,  380.75    
12.41,  453.47    
15.98,  529.98    
12.17,  441.16    
9.64,   397.15    
9.51,   368.90    
15.41,  532.51    
7.98,   310.95    
9.79,   359.12    
11.58,  411.89    
8.29,   349.61    
11.74,  420.24    
10.25,  391.13    
7.71,   336.42    
12.23,  452.46    
12.22,  461.34    
11.53,  415.51    
8.80,   352.62    
17.41,  589.30    
8.16,   360.17    
8.58,   362.07    
7.87,   326.73    
9.10,   349.66    
9.84,   418.57    
7.31,   350.62    
4.50,   228.96    
