X,      Y
11.00,  282.31    
21.34,  584.27    
14.44,  412.68    
6.68,   231.44    
8.25,   205.68    
18.53,  490.94    
11.87,  354.00    
22.01,  591.66    
10.89,  306.26    
9.06,   239.31    
7.38,   173.98    
8.86,   275.40    
13.03,  351.37    
9.25,   279.74    
10.81,  315.19    
13.30,  322.80    
14.78,  373.94    
6.78,   199.34    
11.31,  329.12    
17.16,  422.65    
9.26,   262.54    
11.84,  320.15    
6.58,   199.81    
17.62,  470.04    
5.65,   191.59    
11.07,  293.16    
11.82,  312.56    
18.22,  472.95    
13.27,  343.38    
8.50,   248.68    
