X,      Y
7.68,   364.85    
15.76,  579.57    
12.27,  492.98    
7.23,   338.33    
13.71,  522.15    
12.07,  520.82    
10.26,  428.60    
13.23,  511.57    
5.38,   322.78    
7.59,   371.43    
6.30,   299.04    
10.34,  456.40    
10.64,  383.98    
7.13,   364.23    
12.62,  459.72    
11.24,  461.18    
12.09,  435.85    
11.39,  445.08    
9.59,   405.81    
14.05,  529.90    
9.52,   401.61    
6.70,   314.37    
9.70,   409.67    
9.35,   362.95    
7.20,   345.77    
9.29,   384.10    
4.84,   253.97    
12.71,  510.43    
8.72,   373.94    
15.04,  537.47    
