X,      Y
8.90,   316.45    
12.27,  390.72    
6.65,   303.40    
11.92,  369.76    
8.64,   322.46    
8.99,   319.75    
14.00,  431.88    
10.14,  328.34    
10.60,  313.37    
10.17,  335.93    
7.31,   331.57    
14.68   435.00
12.23,  430.54    
14.12,  430.27    
8.11,   319.77    
7.07,   291.45    
12.17,  356.82    
10.70,  365.68    
9.84,   343.80    
10.22,  348.08    
8.10,   300.88    
10.72,  373.00    
12.61,  378.31    
7.30,   299.61    
9.48,   337.86    
10.62,  354.07    
10.06,  353.38    
11.61,  368.04    
10.15,  321.31    
9.68,   333.82    
