X,      Y
13.83,  385.64    
9.74,   346.17    
8.91,   301.26    
9.28,   264.30    
10.34,  329.97    
8.18,   296.36    
9.56,   319.17    
6.34,   276.13    
10.44,  360.36    
6.65,   281.82    
6.33,   273.89    
7.42,   267.74    
12.76,  371.95    
14.34,  410.83    
8.77,   340.10    
9.66,   262.69    
8.48,   330.79    
12.28,  385.62    
2.80,   183.90    
11.95,  371.21    
11.56,  388.07    
11.35,  394.52    
10.09,  305.36    
10.72,  323.88    
3.78,   211.62    
6.22,   249.39    
9.26,   319.73    
13.17,  376.77    
8.02,   302.63    
11.34,  340.92    
