X,      Y
13.60,  487.01    
9.44,   357.12    
9.90,   361.12    
10.39,  397.35    
10.01,  395.72    
13.91,  517.55    
7.66,   329.60    
13.80,  424.81    
15.56,  540.32    
5.83,   283.63    
10.71,  392.18    
11.39,  422.66    
4.81,   263.27    
7.81,   331.80    
6.08,   269.06    
9.30,   343.89    
7.62,   325.05    
13.72,  448.17    
10.05,  377.06    
9.49,   373.41    
12.93,  418.55    
17.80,  549.51    
4.44,   245.91    
5.11,   248.87    
7.95,   345.17    
16.85,  511.88    
9.44,   380.45    
11.11,  440.90    
13.84,  467.25    
15.43,  453.20    
