X,      Y
3.16,   65.46    
18.92,  323.66    
11.79,  204.82    
15.18,  297.96    
11.92,  203.97    
3.57,   77.75    
17.89,  342.93    
6.21,   148.63    
17.04,  287.71    
13.00,  240.79    
4.69,   114.10    
16.35,  285.50    
9.11,   148.23    
10.59,  197.08    
16.83,  268.99    
9.96,   132.65    
13.26,  220.85    
13.85,  241.97    
15.09,  287.45    
18.75,  321.95    
11.79,  261.66    
13.91,  284.77    
15.26,  261.94    
23.04,  338.23    
11.26,  191.84    
9.28,   194.08    
11.79,  198.94    
13.10,  224.67    
10.15,  187.87    
6.57,   135.12    
        
