X,      Y
10.73,  436.45    
14.03,  566.00    
5.44,   316.75    
7.18,   377.92    
13.91,  550.56    
11.54,  483.68    
13.42,  538.36    
9.25,   393.50    
10.72,  449.48    
10.26,  410.28    
9.98,   404.98    
7.05,   338.05    
13.58,  526.28    
12.62,  513.47    
6.50,   330.11    
7.49,   325.16    
15.21,  614.75    
6.96,   356.64    
15.45,  606.60    
10.58,  438.73    
6.18,   339.80    
10.67,  481.93    
9.28,   424.48    
12.39,  502.75    
12.69,  516.34    
10.93,  447.11    
6.20,   285.41    
13.79,  544.63    
14.86,  536.38    
9.23,   423.60    
