X,      Y
4.93,   288.52    
5.16,   290.47    
14.34,  536.76    
12.49,  488.93    
11.85,  492.44    
12.55,  483.76    
5.90,   298.44    
8.06,   384.43    
14.36,  525.37    
8.97,   366.90    
12.60,  496.56    
14.88,  564.24    
12.75,  461.49    
11.52,  460.16    
6.91,   354.72    
3.51,   251.85    
8.00,   351.78    
10.32,  422.97    
11.10,  436.73    
7.77,   350.34    
8.74,   370.77    
6.14,   297.59    
13.75,  517.26    
10.78,  433.90    
6.01,   323.16    
10.83,  492.64    
7.78,   367.83    
3.69,   259.19    
5.21,   302.80    
18.72,  617.37    
