X,      Y
8.30,   349.92    
8.43,   320.21    
12.62,  432.52    
6.40,   279.70    
7.48,   294.89    
10.91,  378.48    
18.51,  546.30    
11.39,  413.59    
10.31,  365.45    
10.18,  379.15    
13.57,  446.98    
11.79,  401.15    
12.78,  447.30    
8.31,   346.35    
5.54,   298.02    
13.50,  420.22    
10.14,  368.75    
7.15,   297.52    
11.36,  416.91    
8.58,   330.72    
7.24,   316.25    
10.37,  380.14    
9.75,   369.45    
13.72,  446.26    
10.45,  368.45    
4.23,   214.08    
15.77,  485.33    
7.98,   314.57    
12.01,  402.56    
10.59,  372.63    
