X,      Y
1.54,   32.66    
9.55,   444.44    
6.70,   249.01    
15.95,  690.19    
10.18,  432.56    
19.39,  805.41    
12.66,  563.52    
17.75,  709.24    
17.73,  686.20    
10.54,  442.35    
7.73,   359.83    
2.80,   190.69    
11.53,  469.22    
8.67,   408.52    
12.66,  520.07    
7.51,   336.29    
16.81,  733.13    
14.88,  620.02    
3.30,   162.06    
13.76,  574.78    
14.27,  586.58    
9.09,   392.30    
12.20,  503.16    
13.32,  550.63    
11.64,  511.63    
5.16,   279.87    
10.43,  421.73    
9.96,   427.86    
18.83,  778.28    
18.02,  760.36    
