X,      Y
6.17,   318.65    
8.89,   357.45    
7.46,   342.43    
10.97,  464.67    
14.33,  442.25    
12.55,  462.77    
10.43,  386.21    
11.63,  426.90    
15.06,  496.42    
14.43,  495.75    
10.64,  403.74    
11.29,  418.25    
7.10,   346.19    
7.06,   299.05    
14.64,  501.50    
12.64,  452.85    
10.40,  419.23    
13.01,  475.60    
10.75,  405.47    
11.33,  409.52    
11.92,  444.60    
13.07,  450.54    
9.92,   396.92    
11.03,  451.13    
10.81,  395.92    
7.73,   332.97    
6.33,   313.11    
10.49,  400.11    
14.36,  523.67    
12.69,  462.23    
