X,      Y
13.29,  458.79    
17.13,  509.59    
4.77,   274.66    
15.65,  457.98    
4.68,   243.21    
10.13,  389.51    
11.64,  370.59    
12.35,  381.98    
9.97,   361.27    
8.17,   322.31    
11.85,  438.95    
7.18,   299.35    
4.36,   246.44    
13.14,  418.35    
12.93,  421.18    
9.50,   364.83    
5.69,   296.92    
10.24,  365.73    
14.91,  492.61    
6.07,   295.76    
12.93,  425.00    
9.09,   349.85    
8.68,   344.92    
5.05,   246.86    
9.28,   365.04    
9.18,   356.01    
11.51,  413.27    
11.36,  390.48    
13.80,  411.95    
10.85,  377.68    
