X,      Y
7.93,   345.81    
10.31,  437.79    
7.69,   305.06    
7.68,   331.48    
22.05,  913.46    
19.81,  806.21    
12.26,  510.18    
8.23,   347.68    
14.73,  597.68    
14.13,  570.72    
17.29,  709.98    
14.01,  597.75    
3.37,   198.14    
5.91,   237.02    
7.28,   314.10    
9.64,   405.16    
7.19,   334.14    
12.91,  530.14    
7.86,   357.55    
15.26,  615.96    
10.66,  442.11    
11.05,  476.50    
16.72,  666.32    
16.94,  656.61    
10.24,  402.11    
6.18,   307.81    
5.34,   282.14    
7.63,   329.76    
17.76,  782.94    
16.25,  674.73    
