X,      Y
12.56,  518.48    
14.54,  660.68    
4.09,   213.80    
10.77,  467.42    
13.57,  520.06    
6.68,   310.20    
14.06,  589.18    
12.47,  543.95    
12.61,  548.07    
5.10,   241.58    
17.06,  709.61    
8.99,   346.52    
17.59,  731.48    
4.00,   186.66    
15.13,  619.29    
18.98,  806.06    
9.70,   417.43    
10.71,  486.79    
8.54,   369.45    
8.70,   415.15    
9.67,   462.36    
6.48,   282.17    
13.45,  587.86    
22.27,  955.76    
12.45,  496.57    
21.36,  867.27    
4.56,   187.54    
9.03,   413.13    
13.63,  563.09    
10.99,  468.42    
