X,      Y
10.38,  324.80    
15.90,  427.42    
25.98,  723.93    
11.76,  296.62    
12.29,  346.87    
23.83,  639.00    
18.88,  517.85    
0.86,   34.33    
7.95,   215.69    
14.01,  427.99    
9.88,   315.95    
14.24,  397.81    
10.28,  286.83    
10.15,  310.89    
9.30,   279.63    
12.15,  348.47    
3.86,   152.33    
10.94,  298.61    
17.64,  468.49    
6.59,   182.73    
14.47,  403.97    
7.51,   217.05    
15.10,  413.86    
16.26,  458.10    
19.25,  529.62    
19.20,  485.87    
9.61,   246.69    
5.50,   158.77    
6.26,   169.91    
9.84,   249.34    
