X,      Y
15.20,  585.27    
8.46,   429.57    
10.08,  447.00    
11.67,  483.83    
11.36,  518.50    
4.72,   283.53    
13.23,  573.71    
9.13,   402.45    
9.87,   410.78    
10.57,  433.56    
10.44,  451.40    
10.36,  441.07    
13.82,  581.05    
9.10,   433.68    
14.77,  552.56    
14.56,  593.99    
7.76,   371.70    
6.49,   343.82    
9.63,   398.01    
12.48,  527.63    
7.41,   341.97    
8.26,   426.42    
7.93,   362.81    
10.08,  441.73    
10.46,  466.00    
12.48,  508.00    
13.05,  512.01    
7.72,   334.46    
12.10,  509.95    
11.34,  494.36    
